round_queries,300,900,1800,7000,14300,191700
round_k,1,4,17,71,247,958
round_shots,300,200,200,200,200,100
round_queries,300,600,1800,5800,22200,173500
round_k,1,4,14,55,216,867
round_shots,300,200,200,100,200,100,100
round_queries,300,600,1800,3300,19800,40300,591500
round_k,1,4,16,49,201,684,2957
round_shots,300,200,200,200,100,100,100
round_queries,300,600,1800,7000,12100,36500,560100
round_k,1,4,17,60,182,705,2800
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5800,9500,28700,433700
round_k,1,4,14,47,143,554,2168
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,7000,14500,45100,585900
round_k,1,4,17,72,225,815,2929
round_shots,300,200,200,200,100,100
round_queries,300,600,1800,6600,15100,196500
round_k,1,4,16,75,274,982
round_shots,300,100,200,200,100,100
round_queries,300,300,1800,7000,16700,201900
round_k,1,4,17,83,261,1009
round_shots,200,200,200,200,100,100
round_queries,200,600,1800,7000,16700,235300
round_k,1,4,17,83,294,1176
round_shots,300,200,200,200,100,100
round_queries,300,600,1800,7000,14100,200100
round_k,1,4,17,70,255,1000
round_shots,200,200,200,100,100,200,100
round_queries,200,600,1800,3500,10500,69000,523100
round_k,1,4,17,52,172,833,2615
round_shots,300,200,200,200,200,100
round_queries,300,600,1800,5400,25000,235500
round_k,1,4,13,62,289,1177
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5800,12300,43300,744100
round_k,1,4,14,61,216,836,3720
round_shots,300,200,200,200,100,100
round_queries,300,600,1800,7000,15300,203700
round_k,1,4,17,76,261,1018
round_shots,300,200,200,100,100,100,100
round_queries,300,600,1800,3300,9900,29700,390500
round_k,1,4,16,49,148,470,1952
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,9100,31500,476500
round_k,1,4,13,45,157,610,2382
round_shots,200,100,200,200,100,100,100
round_queries,200,300,1800,6600,13700,42100,625900
round_k,1,4,16,68,210,702,3129
round_shots,400,200,100,200,100,100,100
round_queries,400,600,900,5400,9900,32300,426300
round_k,1,4,13,49,161,608,2131
round_shots,200,200,200,200,100,100
round_queries,200,600,1800,7800,15500,210300
round_k,1,4,19,77,277,1051
round_shots,200,200,200,200,200,100,100
round_queries,200,600,1800,5400,20200,45300,600500
round_k,1,4,13,50,226,860,3002
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,9700,32900,527500
round_k,1,4,13,48,164,637,2637
round_shots,200,200,200,200,300,100,100
round_queries,200,600,1800,6600,32100,43100,651100
round_k,1,4,16,53,215,768,3255
round_shots,200,200,200,300,100,100,100
round_queries,200,600,1800,8100,9700,30900,477300
round_k,1,4,13,48,154,579,2386
round_shots,200,300,500,200,100,100
round_queries,200,900,5500,7000,13900,219100
round_k,1,5,17,69,236,1095
round_shots,300,200,200,200,200,100,100
round_queries,300,600,1800,7000,21400,38100,649300
round_k,1,4,17,53,190,731,3246
round_shots,200,200,200,200,200,200
round_queries,200,600,1800,6600,26600,402200
round_k,1,4,16,66,249,1005
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,10900,32900,347700
round_k,1,4,13,54,164,532,1738
round_shots,200,200,200,200,100,100
round_queries,200,600,1800,7000,13900,189300
round_k,1,4,17,69,235,946
round_shots,300,200,200,100,100,100,100
round_queries,300,600,1800,3500,10500,36100,590900
round_k,1,4,17,52,180,677,2954
round_shots,200,200,200,200,100,100
round_queries,200,600,1800,7000,14100,213100
round_k,1,4,17,70,249,1065
round_shots,300,200,200,200,100,100
round_queries,300,600,2200,7000,12900,182900
round_k,1,5,17,64,198,914
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,10100,31100,518700
round_k,1,4,13,50,155,592,2593
round_shots,300,200,200,100,100,100,100
round_queries,300,600,1800,3500,10700,38500,633300
round_k,1,4,17,53,192,736,3166
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,7000,12700,43900,680300
round_k,1,4,17,63,219,778,3401
round_shots,300,200,200,200,200,100
round_queries,300,600,1800,7000,28200,242100
round_k,1,4,17,70,298,1210
round_shots,200,200,200,300,100,200,100
round_queries,200,600,1800,8100,9700,65400,626900
round_k,1,4,13,48,163,773,3134
round_shots,300,200,500,100,100,100,100
round_queries,300,600,5500,3500,10500,35900,640700
