round_shots,500,500,300,400,300,200,200,300,300,200,200
round_queries,500,1500,2700,8400,13500,21400,48200,160500,414900,737400,1624200
round_k,0,1,4,10,22,53,120,267,691,1843,4060
round_shots,600,400,300,400,400,300,200,200,200,200,200
round_queries,600,1200,2700,8400,21200,39300,57000,128200,291400,671800,1530600
round_k,0,1,4,10,26,65,142,320,728,1679,3826
round_shots,500,400,300,300,300,300,200,200,200,300,200
round_queries,500,1200,2700,6300,15900,43500,76200,167800,388200,1206900,1818600
round_k,0,1,4,10,26,72,190,419,970,2011,4546
round_shots,600,400,300,300,200,200,200,200,300,300,300
round_queries,600,1200,2700,6900,12200,27400,59400,131000,445500,1178100,2419500
round_k,0,1,4,11,30,68,148,327,742,1963,4032
round_shots,500,700,400,500,300,200,200,300,300,200,200
round_queries,500,2100,3600,10500,15900,28200,59400,183300,455100,811800,1878200
round_k,0,1,4,10,26,70,148,305,758,2029,4695
round_shots,700,400,300,400,500,300,200,400,300,400,200
round_queries,700,1200,2700,8400,26500,46500,66600,286800,556500,1508400,2111800
round_k,0,1,4,10,26,77,166,358,927,1885,5279
round_shots,600,400,400,300,300,200,300,200,200,200,200
round_queries,600,1200,3600,6900,14100,22200,69900,124200,281000,644200,1463800
round_k,0,1,4,11,23,55,116,310,702,1610,3659
round_shots,500,400,400,300,300,300,200,400,300,300,300
round_queries,500,1200,3600,6300,13500,32100,59000,250000,405900,830100,1965300
round_k,0,1,4,10,22,53,147,312,676,1383,3275
round_shots,600,500,300,300,200,200,200,200,200,200,200,100
round_queries,600,1500,2700,6300,10600,23000,46600,102600,229400,527800,1175800,1348900
round_k,0,1,4,10,26,57,116,256,573,1319,2939,6744
round_shots,600,400,400,300,300,200,200,200,200,200,200,100
round_queries,600,1200,3600,6300,13500,20200,42200,89800,196200,460200,1075000,1191300
round_k,0,1,4,10,22,50,105,224,490,1150,2687,5956
round_shots,600,500,300,300,300,300,300,200,200,300,200,100
round_queries,600,1500,2700,6300,15900,32100,65700,115000,231000,732300,1257000,1458700
round_k,0,1,4,10,26,53,109,287,577,1220,3142,7293
round_shots,600,500,400,300,300,300,200,200,300,200,300,100
round_queries,600,1500,3600,6900,14100,30300,45800,100200,322500,507400,1604100,1478300
round_k,0,1,4,11,23,50,114,250,537,1268,2673,7391
round_shots,600,600,500,300,300,200,200,200,200,200,200
round_queries,600,1800,4500,8700,17700,27000,61000,132600,276200,633400,1456200
round_k,0,1,4,14,29,67,152,331,690,1583,3640
round_shots,600,500,500,200,300,200,200,200,200,200,200
round_queries,600,1500,4500,5800,18300,34200,71400,164200,333800,698200,1577000
round_k,0,1,4,14,30,85,178,410,834,1745,3942
round_shots,500,500,300,400,300,300,200,200,200,200,200,100
round_queries,500,1500,2700,8400,15900,35700,53400,123400,273000,567800,1252600,1417500
round_k,0,1,4,10,26,59,133,308,682,1419,3131,7087
round_shots,600,400,500,300,300,200,200,200,200,200,100
round_queries,600,1200,4500,8700,21900,40200,84600,189000,435800,989400,1142500
round_k,0,1,4,14,36,100,211,472,1089,2473,5712
round_shots,600,500,500,300,400,400,300,200,200,200,100
round_queries,600,1500,4500,8700,26000,64400,117300,193800,435800,1019000,1199900
round_k,0,1,4,14,32,80,195,484,1089,2547,5999
round_shots,700,400,400,300,300,300,200,300,200,200,200
round_queries,700,1200,3600,6300,14100,38100,69800,212700,384200,855800,1891400
round_k,0,1,4,10,23,63,174,354,960,2139,4728
round_shots,500,800,400,300,200,200,200,200,300,300,200,100
round_queries,500,2400,3600,6900,9800,20200,43800,90600,288900,726900,1253400,1467100
round_k,0,1,4,11,24,50,109,226,481,1211,3133,7335
round_shots,600,400,300,300,200,200,200,300,300,200,200
round_queries,600,1200,2700,6300,11400,25800,58200,186300,378900,674600,1543000
round_k,0,1,4,10,28,64,145,310,631,1686,3857
round_shots,600,400,300,300,300,200,200,200,200,300,200,200
round_queries,600,1200,2700,6900,15900,23400,47400,105400,230600,777900,1048600,2197000
round_k,0,1,4,11,26,58,118,263,576,1296,2621,5492
round_shots,600,700,400,400,200,200,200,200,300,400,100
round_queries,600,2100,3600,9200,13400,28600,60600,142200,496500,1650800,1092500
round_k,0,1,4,11,33,71,151,355,827,2063,5462
round_shots,600,500,300,400,300,300,300,300,200,200,200
round_queries,600,1500,2700,8400,14100,30300,66300,153300,269800,627000,1408600
round_k,0,1,4,10,23,50,110,255,674,1567,3521
round_shots,600,700,400,300,200,300,200,200,200,200,200
round_queries,600,2100,3600,6900,12200,41700,72600,160200,368600,852200,1916200
round_k,0,1,4,11,30,69,181,400,921,2130,4790
round_shots,700,400,300,300,400,200,200,300,200,200,200
round_queries,700,1200,2700,6300,18000,21400,47000,149700,259800,605800,1377400
round_k,0,1,4,10,22,53,117,249,649,1514,3443
round_shots,500,400,300,300,300,200,300,300,200,200,200,100
round_queries,500,1200,2700,6300,13500,19000,63300,156300,229000,497400,1160200,1361900
round_k,0,1,4,10,22,47,105,260,572,1243,2900,6809
round_shots,500,600,400,400,200,300,200,300,200,200,200
round_queries,500,1800,3600,8400,9400,32700,55800,175500,301400,610600,1429800
round_k,0,1,4,10,23,54,139,292,753,1526,3574
round_shots,500,500,500,400,200,300,200,200,200,200,300
round_queries,500,1500,4500,9200,11800,36300,63000,132600,305800,700600,2431500
round_k,0,1,4,11,29,60,157,331,764,1751,4052
round_shots,700,500,300,300,400,300,200,200,300,200,300,100
round_queries,700,1500,2700,6300,18000,29700,40600,86600,282300,417400,1301700,1194700
round_k,0,1,4,10,22,49,101,216,470,1043,2169,5973
round_shots,500,600,300,300,200,200,200,200,200,200,200,100
round_queries,500,1800,2700,6900,12200,25000,53000,114600,257800,570200,1221400,1363700
round_k,0,1,4,11,30,62,132,286,644,1425,3053,6818
round_shots,600,400,400,300,400,200,200,200,200,200,200
round_queries,600,1200,3600,8700,23600,31000,65000,143400,321400,727000,1650600
round_k,0,1,4,14,29,77,162,358,803,1817,4126
round_shots,600,400,300,200,200,300,500,500,400,300,300,100
round_queries,600,1200,2700,4200,9000,27900,98500,205500,398800,697500,1532100,1173700
round_k,0,1,4,10,22,46,98,205,498,1162,2553,5868
round_shots,500,500,300,400,300,300,300,200,200,200,200
round_queries,500,1500,2700,8400,19500,45300,110700,187400,391800,881800,2063800
round_k,0,1,4,10,32,75,184,468,979,2204,5159
round_shots,500,700,400,400,300,200,200,200,200,200,200,100
round_queries,500,2100,3600,8400,15900,24200,53000,120200,265800,609400,1310600,1483900
round_k,0,1,4,10,26,60,132,300,664,1523,3276,7419
round_shots,600,400,300,300,400,600,300,500,300,200,200,100
round_queries,600,1200,2700,6300,18000,60600,69900,239500,345300,657000,1445400,1450900
round_k,0,1,4,10,22,50,116,239,575,1642,3613,7254
round_shots,600,400,500,600,300,200,300,300,300,300,100
round_queries,600,1200,4500,13800,19500,33000,105900,272100,736500,1514100,1241900
round_k,0,1,4,11,32,82,176,453,1227,2523,6209
round_shots,600,500,400,400,400,200,200,200,200,200,200
round_queries,600,1500,3600,9200,21200,28600,59000,133800,305000,694200,1580600
round_k,0,1,4,11,26,71,147,334,762,1735,3951
round_shots,700,500,300,400,300,400,300,200,300,300,300
round_queries,700,1500,2700,8400,15900,50000,91500,141800,476100,1046100,2459100
round_k,0,1,4,10,26,62,152,354,793,1743,4098
round_shots,500,500,400,300,300,200,200,200,200,200,100
round_queries,500,1500,3600,8700,21900,40200,87400,195800,452200,1023800,1133700
round_k,0,1,4,14,36,100,218,489,1130,2559,5668
round_shots,600,400,400,300,400,300,300,200,200,200,200
round_queries,600,1200,3600,6300,18800,39900,96300,171000,381000,810200,1831000
round_k,0,1,4,10,23,66,160,427,952,2025,4577
round_shots,600,500,300,300,400,200,300,200,200,200,300
round_queries,600,1500,2700,6300,18000,19000,57900,108600,247400,571400,1912500
round_k,0,1,4,10,22,47,96,271,618,1428,3187
round_shots,500,400,400,400,200,200,200,300,300,200,200,100
round_queries,500,1200,3600,9200,9400,19400,39400,126900,312300,432600,958200,1007500
round_k,0,1,4,11,23,48,98,211,520,1081,2395,5037
round_shots,600,400,300,200,200,200,300,300,200,200,200
round_queries,600,1200,2700,4200,9000,19800,65700,156300,293000,662200,1399800
round_k,0,1,4,10,22,49,109,260,732,1655,3499
round_shots,600,400,200,300,500,300,200,200,200,200,200
