round_k,0,1,3,14,63,299,1486,7805,39207,198889
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,1000,2700,12700,61900,309500,1542700,7754500,39257100
round_k,0,2,13,63,309,1547,7713,38772,196285
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1900,7500,35900,175100,865500,4352700,22063100
round_k,0,1,9,37,179,875,4327,21763,110315
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,12300,59300,298500,1498300,7580700,38366900
round_k,0,1,3,13,61,296,1492,7491,37903,191834
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1900,7900,39100,194100,977700,4916500,24851300
round_k,0,1,9,39,195,970,4888,24582,124256
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13700,66100,327700,1635100,8235500,41467700
round_k,0,1,3,14,68,330,1638,8175,41177,207338
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,13700,67900,333300,1678100,8471900,42930300
round_k,0,1,4,14,68,339,1666,8390,42359,214651
round_shots,200,300,100,100,100,100,100,100,100
round_queries,200,900,2300,10900,51100,249100,1217500,6077100,37052100
round_k,0,1,11,54,255,1245,6087,30385,185260
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,3300,15100,75100,371100,1862900,9452900,47879100
round_k,0,1,3,16,75,375,1855,9314,47264,239395
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2500,10300,47900,237300,1192100,6014500,30419700
round_k,0,1,3,12,51,239,1186,5960,30072,152098
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5500,25500,125100,612100,3053300,15399700,78132700
round_k,0,1,5,27,127,625,3060,15266,76998,390663
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,11300,52500,254900,1229300,6178500,31342500
round_k,0,1,3,12,56,262,1274,6146,30892,156712
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2300,10100,46700,220900,1114900,5313700,25562500
round_k,0,1,3,11,50,233,1104,5574,26568,127812
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3300,13700,64300,323700,1634300,8212900,41329500
round_k,0,1,3,16,68,321,1618,8171,41064,206647
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,12900,60100,291900,1466300,7383300,37235300
round_k,0,1,4,14,64,300,1459,7331,36916,186176
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,3100,15500,76100,371700,1866700,9361100,47280500
round_k,0,1,3,15,77,380,1858,9333,46805,236402
round_shots,100,300,100,100,100,100,100,100,100
round_queries,100,900,2300,11300,54700,270100,1355500,6797100,34423500
round_k,0,1,11,56,273,1350,6777,33985,172117
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12300,57500,276700,1383300,6962900,35110100
round_k,0,1,3,14,61,287,1383,6916,34814,175550
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12300,57300,282700,1423500,7114300,35295100
round_k,0,1,3,13,61,286,1413,7117,35571,176475
round_shots,100,300,100,100,100,100,100,100,100
round_queries,100,900,2300,9300,43300,209300,1054500,5295100,26599100
round_k,0,1,11,46,216,1046,5272,26475,132995
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13900,66500,328100,1647500,8299500,41886900
round_k,0,1,3,14,69,332,1640,8237,41497,209434
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,11900,55300,277900,1375300,6975500,35288100
round_k,0,1,3,12,59,276,1389,6876,34877,176440
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12700,61300,304500,1503100,7595500,38481700
round_k,0,1,3,14,63,306,1522,7515,37977,192408
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,3100,13500,63700,313900,1561700,7948100,40330100
round_k,0,1,3,15,67,318,1569,7808,39740,201650
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,12300,60100,303900,1540900,7794100,39551300
round_k,0,1,3,12,61,300,1519,7704,38970,197756
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,11500,52900,264900,1329500,6708100,33805100
round_k,0,1,3,11,57,264,1324,6647,33540,169025
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10500,48100,234700,1176100,5966300,29904100
round_k,0,1,3,12,52,240,1173,5880,29831,149520
round_shots,100,300,100,100,100,100,100,100,100
round_queries,100,900,2500,11900,55700,271500,1355900,6843700,34745300
round_k,0,1,12,59,278,1357,6779,34218,173726
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,12700,59700,296100,1480100,7465300,37870300
round_k,0,1,4,14,63,298,1480,7400,37326,189351
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,11500,55500,278100,1384900,6963900,35548300
round_k,0,1,3,12,57,277,1390,6924,34819,177741
round_shots,100,300,100,100,100,100,100,100,100
round_queries,100,900,2500,10700,52500,255500,1275500,6410300,32467500
round_k,0,1,12,53,262,1277,6377,32051,162337
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,12500,58100,288900,1436500,7264500,36811500
round_k,0,1,3,13,62,290,1444,7182,36322,184057
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,3300,14900,72900,361500,1821100,9215300,46387300
round_k,0,1,3,16,74,364,1807,9105,46076,231936
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,3300,15500,75500,379700,1875900,9308700,46953700
round_k,0,1,3,16,77,377,1898,9379,46543,234768
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7900,35300,179100,899500,4528300,22885700
round_k,0,1,9,39,176,895,4497,22641,114428
round_shots,100,100,100,100,100,100,100,100,100,100
