round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12700,59300,292900,1473300,7441700,37726900
round_k,0,1,3,14,63,296,1464,7366,37208,188634
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,25300,121500,602300,3017900,15130700,76773100
round_k,0,1,5,25,126,607,3011,15089,75653,383865
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,24900,124100,603700,3048300,15393100,78080100
round_k,0,1,5,25,124,620,3018,15241,76965,390400
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,23900,121100,603500,3045100,15176900,76335500
round_k,0,1,5,25,119,605,3017,15225,75884,381677
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,500,1900,7100,33700,161900,801300,4059700,20464900
round_k,0,2,9,35,168,809,4006,20298,102324
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1900,9100,43500,218500,1102500,5569900,28157500
round_k,0,2,9,45,217,1092,5512,27849,140787
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,19700,94900,466100,2343700,11863900,60263500
round_k,0,1,5,20,98,474,2330,11718,59319,301317
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13100,62700,296100,1486900,7446100,37684700
round_k,0,1,3,14,65,313,1480,7434,37230,188423
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6900,32700,157700,788300,3992500,20239300
round_k,0,1,7,34,163,788,3941,19962,101196
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,1900,7700,34700,167500,833900,4198300,21105100
round_k,0,1,3,9,38,173,837,4169,20991,105525
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,22100,106700,529700,2667100,13495100,68416500
round_k,0,1,5,24,110,533,2648,13335,67475,342082
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,1900,8900,40700,198100,1000300,5044300,25504500
round_k,0,1,3,9,44,203,990,5001,25221,127522
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3300,14900,73100,353900,1759500,8905500,45073300
round_k,0,1,3,16,74,365,1769,8797,44527,225366
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23100,108900,512500,2566700,13000700,65338700
round_k,0,1,5,25,115,544,2562,12833,65003,326693
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1500,5900,29500,144100,711700,3588100,18047100
round_k,0,1,7,29,147,720,3558,17940,90235
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1500,5500,25900,127300,626700,3084700,15603700
round_k,0,1,7,27,129,636,3133,15423,78018
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,21500,106100,521900,2617700,13196500,66853500
round_k,0,1,5,22,107,530,2609,13088,65982,334267
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2300,8700,40900,191700,954900,4806900,24381900
round_k,0,1,3,11,43,204,958,4774,24034,121909
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5900,27500,129300,641300,3226500,16245700
round_k,0,1,7,29,137,646,3206,16132,81228
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23700,114300,565700,2863300,14421300,73027300
round_k,0,1,5,25,118,571,2828,14316,72106,365136
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,700,2900,13700,68300,337100,1673300,8437100,42814300
round_k,0,1,3,14,68,341,1685,8366,42185,214071
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,21500,103900,512700,2562300,12941700,65591300
round_k,0,1,5,24,107,519,2563,12811,64708,327956
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,21500,102700,513900,2565900,12976100,65733300
round_k,0,1,5,23,107,513,2569,12829,64880,328666
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,10500,52300,254900,1262900,6377100,32287900
round_k,0,1,3,11,52,261,1274,6314,31885,161439
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4500,20700,100100,494900,2478300,12553300,63569500
round_k,0,1,5,22,103,500,2474,12391,62766,317847
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4500,21100,103700,516500,2593500,13100500,66354100
round_k,0,1,5,22,105,518,2582,12967,65502,331770
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,11700,55100,268500,1337300,6742900,34139700
round_k,0,1,3,14,58,275,1342,6686,33714,170698
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4500,20700,103500,506900,2536900,12765500,64424500
round_k,0,1,5,22,103,517,2534,12684,63827,322122
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13100,63300,314900,1580700,7977500,40395100
round_k,0,1,3,14,65,316,1574,7903,39887,201975
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,24500,117700,588300,2977300,14992700,75911100
round_k,0,1,5,25,122,588,2941,14886,74963,379555
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,17700,83900,414900,2072100,10498900,53262300
round_k,0,1,5,20,88,419,2074,10360,52494,266311
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,23900,116100,581900,2925900,14787100,75016300
round_k,0,1,5,25,119,580,2909,14629,73935,375081
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,19500,95300,461500,2288500,11530700,58071500
round_k,0,1,5,20,97,476,2307,11442,57653,290357
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,21700,105300,514700,2602100,13142300,66558700
round_k,0,1,5,22,108,526,2573,13010,65711,332793
round_shots,100,100,100,100,100,100,100,100,100,100
