round_shots,900,400,200,200,200,100,100,100,200
round_queries,900,2000,4600,15800,61000,123100,390500,1342700,34702600
round_k,2,11,39,152,615,1952,6713,21543,86756
round_shots,1300,400,200,200,200,200,100,100,100,100
round_queries,1300,2000,4600,15800,57400,231000,476100,1555500,4840100,70649500
round_k,2,11,39,143,577,2380,7777,24200,98019,353247
round_shots,1100,400,200,200,200,100,100,100,100,100
round_queries,1100,2000,4600,14600,47000,97100,303300,1039700,3807100,64892100
round_k,2,11,36,117,485,1516,5198,19035,73114,324460
round_shots,1400,500,400,200,200,100,100,100,100
round_queries,1400,2500,10800,21400,77000,165700,505300,1777100,25949300
round_k,2,13,53,192,828,2526,8885,33184,129746
round_shots,800,400,200,200,200,100,100,100,100,100
round_queries,800,2000,4600,16600,58600,96900,306500,1056300,3858500,44145100
round_k,2,11,41,146,484,1532,5281,19292,71277,220725
round_shots,1300,200,400,200,200,100,100,100,200,100
round_queries,1300,1000,6000,12200,45800,92100,287900,865300,5737400,34379300
round_k,2,7,30,114,460,1439,4326,14343,46279,171896
round_shots,800,500,200,200,200,100,100,100,100
round_queries,800,2500,4600,16600,63400,135900,443500,1445900,19541100
round_k,2,11,41,158,679,2217,7229,27037,97705
round_shots,1300,500,200,200,200,100,100,200,100,100
round_queries,1300,2500,4600,14600,58600,119100,378300,2537000,4230900,75916500
round_k,2,11,36,146,595,1891,6342,21154,85714,379582
round_shots,1000,400,300,200,200,100,100,100,100
round_queries,1000,2000,6900,19000,76200,149300,484500,1697900,18468900
round_k,2,11,47,190,746,2422,8489,30188,92344
round_shots,1100,500,200,200,200,100,100,100,100,100
round_queries,1100,2500,4600,14200,52600,109100,340500,1126500,4187100,73047900
round_k,2,11,35,131,545,1702,5632,20935,85021,365239
round_shots,800,300,200,200,200,200,100,200,100
round_queries,800,1500,3800,12200,47800,191400,414500,2870600,21659300
round_k,2,9,30,119,478,2072,7176,29411,108296
round_shots,900,300,200,200,200,100,100,100,100,100
round_queries,900,1500,3800,12600,42200,88300,275900,930900,3422700,50767900
round_k,2,9,31,105,441,1379,4654,17113,57994,253839
round_shots,1300,400,200,200,200,100,100,200,100,100
round_queries,1300,2000,4600,15000,50200,98900,307900,2010600,3261500,42402100
round_k,2,11,37,125,494,1539,5026,16307,50251,212010
round_shots,1400,400,200,200,200,100,100,100,100,100
round_queries,1400,2000,4600,15800,61000,129500,417100,1451100,4963500,64043100
round_k,2,11,39,152,647,2085,7255,24817,94843,320215
round_shots,900,200,600,200,200,200,100,100,100,100
round_queries,900,1000,9000,11000,36200,137800,294300,988900,3476500,50474300
round_k,2,7,27,90,344,1471,4944,17382,58330,252371
round_shots,1400,300,200,200,200,200,100,100,100,100
round_queries,1400,1500,3800,12200,43000,183000,371700,1250100,4239900,71964700
round_k,2,9,30,107,457,1858,6250,21199,79148,359823
round_shots,1400,200,300,200,200,200,200,200,100,100
round_queries,1400,600,2700,7400,23000,93000,408200,1747400,2739500,35458300
round_k,1,4,18,57,232,1020,4368,13697,41436,177291
round_shots,800,400,300,200,200,100,100,100,100,100
round_queries,800,2000,5700,14600,54200,114700,368900,1159300,4223500,77678500
round_k,2,9,36,135,573,1844,5796,21117,85848,388392
round_shots,1200,500,200,200,200,100,300,100,200
round_queries,1200,2500,5400,16600,64600,134100,1236300,1281500,35428600
round_k,2,13,41,161,670,2060,6407,22396,88571
round_shots,1400,300,300,400,200,200,100,100,100,100
round_queries,1400,900,2700,12400,23800,72600,149900,481100,1659900,25358500
round_k,1,4,15,59,181,749,2405,8299,30219,126792
round_shots,1400,400,200,200,200,100,100,100,100,100
round_queries,1400,2000,4600,14600,58600,121500,373100,1261900,4718500,65722500
round_k,2,11,36,146,607,1865,6309,23592,96980,328612
round_shots,900,500,300,200,200,200,100,100,100,100
round_queries,900,2500,8100,19400,73000,313000,611100,2077500,7102900,76332700
round_k,2,13,48,182,782,3055,10387,35514,110764,381663
round_shots,800,300,300,200,200,100,200,100,100,100
round_queries,800,1500,5700,16600,61000,100900,632200,1238500,4513700,71184700
round_k,2,9,41,152,504,1580,6192,22568,78653,355923
round_shots,1500,300,300,200,200,200,200,100,100,100
round_queries,1500,900,2700,7400,26600,104600,449000,890300,3181100,54830900
round_k,1,4,18,66,261,1122,4451,15905,62929,274154
round_shots,1500,400,200,200,200,200,100,100,100,100
round_queries,1500,2000,4600,16600,61800,239400,410100,1400700,5015500,54525900
round_k,2,11,41,154,598,2050,7003,25077,89639,272629
round_shots,800,300,200,200,200,200,400,200,100,100
round_queries,800,1500,3800,12200,46200,190600,1230000,2313400,4708900,53731100
round_k,2,9,30,115,476,1537,5783,23544,88449,268655
round_shots,800,300,300,200,200,400,100,100,100
round_queries,800,1500,5700,16600,59400,358800,362100,1185700,21470900
round_k,2,9,41,148,448,1810,5928,21845,107354
round_shots,1100,400,200,200,200,200,100,200,100
round_queries,1100,2000,4600,16600,56600,239400,495700,3418200,28719500
round_k,2,11,41,141,598,2478,8545,33931,143597
round_shots,1000,400,200,200,200,200,100,100,100
round_queries,1000,2000,4600,14200,55000,218600,462500,1599300,21745900
round_k,2,11,35,137,546,2312,7996,30406,108729
round_shots,800,500,200,200,200,100,100,100,100,100
round_queries,800,2500,5400,17400,63400,134100,418500,1439300,5219100,54088500
round_k,2,13,43,158,670,2092,7196,26095,81648,270442
round_shots,1100,300,200,200,300,300,200,100,100,100
round_queries,1100,1500,3800,12200,65700,252900,615400,1158700,4052700,71616300
