round_shots,700,400,300,300,400,300,300,300,200,300,200,200,200
round_queries,700,1200,2700,6300,20400,36900,84300,186900,295800,998700,1788600,4041800,9281800
round_k,0,1,4,10,25,61,140,311,739,1664,4471,10104,23204
round_shots,600,400,300,300,400,300,300,300,200,200,400,300,200,100
round_queries,600,1200,2700,6300,18000,30300,74100,157500,263000,574600,2621200,4257300,6960200,8000500
round_k,0,1,4,10,22,50,123,262,657,1436,3276,7095,17400,40002
round_shots,500,400,500,500,300,300,200,200,300,200,200,200,200,100
round_queries,500,1200,4500,11500,19500,42300,73000,149400,473100,803000,1643800,3697000,8305400,9099700
round_k,0,1,4,11,32,70,182,373,788,2007,4109,9242,20763,45498
round_shots,700,500,400,300,300,200,200,200,200,300,400,300,300,100
round_queries,700,1500,3600,6900,16500,26600,53800,114600,262200,894300,2390000,4389300,11082300,9628900
round_k,0,1,4,11,27,66,134,286,655,1490,2987,7315,18470,48144
round_shots,700,500,500,400,300,200,200,200,200,200,200,200,300,200
round_queries,700,1500,4500,8400,14100,23400,52600,108200,246200,553800,1233400,2591800,8165100,14104200
round_k,0,1,4,10,23,58,131,270,615,1384,3083,6479,13608,35260
round_shots,700,400,300,400,600,300,200,200,200,200,200,200,200,200
round_queries,700,1200,2700,8400,29400,29700,45400,98600,211800,461000,1050200,2305000,5178600,11824200
round_k,0,1,4,10,24,49,113,246,529,1152,2625,5762,12946,29560
round_shots,600,400,400,400,500,200,200,200,200,200,300,400,300,100
round_queries,600,1200,3600,8400,26500,21400,44600,98200,201000,452600,1399500,4846800,9469500,6565300
round_k,0,1,4,10,26,53,111,245,502,1131,2332,6058,15782,32826
round_shots,500,400,500,700,600,300,400,300,200,200,200,200,200
round_queries,500,1200,4500,16100,30600,48900,138000,254700,435400,981800,2277800,5206600,12027000
round_k,0,1,4,11,25,81,172,424,1088,2454,5694,13016,30067
round_shots,600,500,300,400,400,200,300,200,200,200,200,200,200,200
round_queries,600,1500,2700,8400,20400,22600,72300,135000,281800,617800,1383000,3153000,6994600,14872600
round_k,0,1,4,10,25,56,120,337,704,1544,3457,7882,17486,37181
round_shots,800,400,300,200,300,400,300,200,200,200,200,200,200,200
round_queries,800,1200,2700,4200,13500,42800,80700,111000,234600,493000,1111400,2514600,5691800,13016600
round_k,0,1,4,10,22,53,134,277,586,1232,2778,6286,14229,32541
round_shots,600,400,300,300,400,300,300,300,200,200,200,200,200
round_queries,600,1200,2700,6300,21200,43500,108900,272100,479000,1029000,2373400,5403000,11916600
round_k,0,1,4,10,26,72,181,453,1197,2572,5933,13507,29791
round_shots,600,400,500,300,300,200,200,200,200,200,200,200,200,100
round_queries,600,1200,4500,6900,15900,25800,57400,129400,285800,631400,1297800,2813000,6475800,7148100
round_k,0,1,4,11,26,64,143,323,714,1578,3244,7032,16189,35740
round_shots,600,400,400,400,300,200,300,300,200,200,200,200,200
round_queries,600,1200,3600,9200,20100,31400,97500,239700,373400,793400,1784200,4102200,9401400
round_k,0,1,4,11,33,78,162,399,933,1983,4460,10255,23503
round_shots,500,400,300,300,300,200,300,300,300,200,300,200,200,200
round_queries,500,1200,2700,6900,14100,22200,69300,146100,299700,517400,1781700,3010600,6410600,14641000
round_k,0,1,4,11,23,55,115,243,499,1293,2969,7526,16026,36602
round_shots,600,400,500,500,300,300,200,200,200,200,200,300,300,100
round_queries,600,1200,4500,11500,14100,32700,60600,127800,270200,614600,1348600,4274700,11138100,8891300
round_k,0,1,4,11,23,54,151,319,675,1536,3371,7124,18563,44456
round_shots,600,400,400,300,200,300,200,200,200,200,200,200,200,100
round_queries,600,1200,3600,6300,10600,34500,61800,133000,289000,647400,1433800,3300200,7441400,8289300
round_k,0,1,4,10,26,57,154,332,722,1618,3584,8250,18603,41446
round_shots,500,500,400,500,400,400,400,300,200,200,200,200,200
round_queries,500,1500,3600,11500,26000,66800,176400,283500,383000,815800,1856600,4249400,9781000
round_k,0,1,4,11,32,83,220,472,957,2039,4641,10623,24452
round_shots,600,600,400,300,400,300,400,300,200,200,200,400,300,100
round_queries,600,1800,3600,6900,18800,33900,100400,186900,264600,565800,1281400,5738800,10464300,8470100
round_k,0,1,4,11,23,56,125,311,661,1414,3203,7173,17440,42350
round_shots,600,400,300,300,300,300,300,200,200,200,200,200,200,200
round_queries,600,1200,2700,6300,13500,30300,66300,94200,192600,443000,969400,2216600,4736200,10747000
round_k,0,1,4,10,22,50,110,235,481,1107,2423,5541,11840,26867
round_shots,700,400,300,300,300,300,200,300,200,200,300,300,300,100
round_queries,700,1200,2700,6300,14100,38100,71400,227700,377800,854200,2739900,5634300,11590500,9528900
round_k,0,1,4,10,23,63,178,379,944,2135,4566,9390,19317,47644
round_shots,600,600,500,300,300,300,300,300,200,200,200,200,200,100
round_queries,600,1800,4500,6900,14100,29700,69300,159300,262200,564600,1288600,2945000,6731400,7605700
round_k,0,1,4,11,23,49,115,265,655,1411,3221,7362,16828,38028
round_shots,800,500,400,300,300,400,200,300,200,200,200,200,200,100
round_queries,800,1500,3600,6300,15900,42800,57400,180900,308200,701000,1610200,3679400,8233000,9450700
round_k,0,1,4,10,26,53,143,301,770,1752,4025,9198,20582,47253
round_shots,600,500,500,300,300,400,300,200,300,300,200,300,300
round_queries,600,1500,4500,6300,14100,40400,71700,137000,436500,1076100,1957800,6566100,15753300
round_k,0,1,4,10,23,50,119,342,727,1793,4894,10943,26255
round_shots,500,500,300,300,200,400,300,300,200,200,200,200,200,100
round_queries,500,1500,2700,6300,11400,46800,80100,210300,379800,825000,1883000,4099000,9063800,10377900
round_k,0,1,4,10,28,58,133,350,949,2062,4707,10247,22659,51889
round_shots,500,800,600,300,200,300,200,200,200,200,200,200,200,100
round_queries,500,2400,6600,6900,12200,39300,67400,138200,297400,679000,1532200,3548200,8063400,9205300
round_k,0,1,5,11,30,65,168,345,743,1697,3830,8870,20158,46026
round_shots,600,500,500,400,300,200,200,200,200,200,200,200,200,200
round_queries,600,1500,4500,9200,15900,27000,55800,114600,231400,479400,1077400,2422600,5530200,12235400
round_k,0,1,4,11,26,67,139,286,578,1198,2693,6056,13825,30588
