round_shots,1000,1300,500,300,300,200,200,200,200,200,200,200,200,200,300,200
round_queries,1000,3900,5500,8100,19500,36200,73000,159000,333800,720200,1620200,3647400,7753400,17617400,60072300,100183400
round_k,0,1,5,13,32,90,182,397,834,1800,4050,9118,19383,44043,100120,250458
round_shots,900,1400,300,300,200,300,200,200,200,200,200,300,300,200,300,200
round_queries,900,4200,3300,7500,12200,36900,61400,125000,260200,571800,1163800,3944700,10241700,15932600,50352900,82861800
round_k,0,1,5,12,30,61,153,312,650,1429,2909,6574,17069,39831,83921,207154
round_shots,1500,1200,400,300,300,200,300,300,400,200,300,400,300,300,200,100
round_queries,1500,3600,4400,7500,18300,32200,104100,278100,768400,953000,2937900,8802800,17539500,35738100,62047400,70984500
round_k,0,1,5,12,30,80,173,463,960,2382,4896,11003,29232,59563,155118,354922
round_shots,1200,1200,400,200,200,300,200,200,300,200,200,200,200,200,200,200
round_queries,1200,3600,4400,5000,10200,30900,53400,114600,369900,656600,1463000,3117400,6863000,15080200,32984600,75333800
round_k,0,1,5,12,25,51,133,286,616,1641,3657,7793,17157,37700,82461,188334
round_shots,1400,1200,300,200,300,200,200,200,200,200,200,300,200,300,300,200
round_queries,1400,3600,3300,5000,15300,25000,50200,107800,216200,449400,987000,3250500,5339400,16371300,43457100,78407400
round_k,0,1,5,12,25,62,125,269,540,1123,2467,5417,13348,27285,72428,196018
round_shots,1400,1200,300,300,200,200,200,200,200,200,200,200,200,200,300,300
round_queries,1400,3600,3300,7500,12200,27000,59000,120200,265000,596200,1293400,2812200,6336200,13880200,41783100,94356900
round_k,0,1,5,12,30,67,147,300,662,1490,3233,7030,15840,34700,69638,157261
round_shots,1000,1300,400,300,200,300,200,200,300,300,300,200,200,200,200,100
round_queries,1000,3900,4400,8100,12600,38100,65800,137000,421500,1068300,2895900,4842600,10797400,24422600,55651400,63368700
round_k,0,1,5,13,31,63,164,342,702,1780,4826,12106,26993,61056,139128,316843
round_shots,1200,1200,400,400,200,200,300,200,200,300,200,100,200,100,100,200
round_queries,1200,3600,4400,10800,15000,30200,98700,166200,355400,1104900,1873400,2060700,8658600,8866500,18374500,78499400
round_k,0,1,5,13,37,75,164,415,888,1841,4683,10303,21646,44332,91872,196248
round_shots,1800,1200,500,500,300,500,200,200,200,200,200,200,200,300,200,100
round_queries,1800,3600,5500,13500,21900,81500,83800,168200,371000,823400,1835000,4122600,9202600,30678900,53088600,58785300
round_k,0,1,5,13,36,81,209,420,927,2058,4587,10306,23006,51131,132721,293926
round_shots,1300,1200,400,300,300,200,200,200,200,200,200,400,300,300,300,200
round_queries,1300,3600,4400,7500,18300,32200,64600,139000,310200,692200,1503800,6351600,12930900,31417500,70719900,94299400
round_k,0,1,5,12,30,80,161,347,775,1730,3759,7939,21551,52362,117866,235748
round_shots,1200,1400,400,300,400,300,200,200,200,200,200,200,200,200,200,200
round_queries,1200,4200,4400,7500,25200,51300,88600,194200,406200,893400,1983400,4525400,10033000,21598600,49238600,112366200
round_k,0,1,5,12,31,85,221,485,1015,2233,4958,11313,25082,53996,123096,280915
round_shots,2100,1200,300,300,300,300,200,200,200,200,200,200,200,200,200,200,100
round_queries,2100,3600,3300,7500,18300,37500,67000,144200,320600,703000,1518200,3142600,6509400,13443000,28051800,63969400,71422900
round_k,0,1,5,12,30,62,167,360,801,1757,3795,7856,16273,33607,70129,159923,357114
round_shots,1300,1400,400,300,200,300,200,200,200,300,200,300,300,300,300,200
round_queries,1300,4200,4400,8100,12600,38700,69400,146600,318600,1082700,1891400,5981700,15387300,31431900,65930100,88995000
round_k,0,1,5,13,31,64,173,366,796,1804,4728,9969,25645,52386,109883,222487
round_shots,800,1200,400,400,300,300,200,300,200,200,200,200,200,200,300,300,100
round_queries,800,3600,4400,10800,18300,38100,60200,188700,331400,701000,1585400,3573000,7537400,16517400,51816300,109766100,73554900
round_k,0,1,5,13,30,63,150,314,828,1752,3963,8932,18843,41293,86360,182943,367774
round_shots,800,1200,300,300,300,200,200,200,300,200,200,200,200,200,200,200,100
round_queries,800,3600,3900,8100,19500,31800,65800,134600,450900,694600,1454600,3217800,7153800,15899400,33643400,67343000,69575900
round_k,0,1,6,13,32,79,164,336,751,1736,3636,8044,17884,39748,84108,168357,347879
round_shots,1200,1200,400,300,300,300,200,200,300,300,300,300,200,200,200,100
round_queries,1200,3600,4400,8100,18900,50100,89800,192200,596700,1314900,3273300,8406900,14466200,32024200,68006600,72275900
round_k,0,1,5,13,31,83,224,480,994,2191,5455,14011,36165,80060,170016,361379
round_shots,1500,1400,300,300,300,200,200,200,200,200,200,400,300,300,300,100
round_queries,1500,4200,3300,7500,18900,35000,72600,155000,337800,738200,1671400,7362000,14295300,31662300,81440100,70932900
round_k,0,1,5,12,31,87,181,387,844,1845,4178,9202,23825,52770,135733,354664
round_shots,1400,1300,300,300,200,200,200,200,200,200,200,200,200,200,300,300
round_queries,1400,3900,3300,7500,11800,24200,50600,111000,245800,525400,1190600,2660600,5851800,12973400,39470700,100743300
round_k,0,1,5,12,29,60,126,277,614,1313,2976,6651,14629,32433,65784,167905
round_shots,2100,1200,400,200,300,200,300,200,200,200,200,200,300,200,200,200
round_queries,2100,3600,4400,5000,15300,25000,75900,115400,241400,515000,1153400,2525800,8399700,14627000,32313000,73032600
round_k,0,1,5,12,25,62,126,288,603,1287,2883,6314,13999,36567,80782,182581
round_shots,2100,1200,300,300,300,300,200,200,200,200,200,200,200,200,200,300
round_queries,2100,3600,3300,7500,17700,36900,58200,123800,267000,592200,1327400,2994600,6836200,15422200,35089000,114360900
round_k,0,1,5,12,29,61,145,309,667,1480,3318,7486,17090,38555,87722,190601
round_shots,1600,1200,400,300,300,300,300,400,200,300,300,200,200,200,200,100
round_queries,1600,3600,4400,7500,15300,36900,93300,322000,429800,1340700,3446100,5743800,12662600,28118600,63947800,72329100
round_k,0,1,5,12,25,61,155,402,1074,2234,5743,14359,31656,70296,159869,361645
round_shots,1400,1100,300,300,300,200,200,200,400,100,100,300,200,200,200,100,100
round_queries,1400,3300,3300,7500,18900,32600,69800,147000,614800,368700,775500,4848300,7533800,15966600,34630200,35011100,73801100
round_k,0,1,5,12,31,81,174,367,768,1843,3877,8080,18834,39916,86575,175055,369005
round_shots,1100,1300,400,300,200,200,200,300,200,200,200,200,200,200,200,200
round_queries,1100,3900,4400,7500,12200,25000,52200,171300,281400,619800,1403800,3153400,7071000,15660600,35311000,79970600
round_k,0,1,5,12,30,62,130,285,703,1549,3509,7883,17677,39151,88277,199926
round_shots,1000,1200,300,300,200,300,400,300,200,200,200,200,200,200,200,200
round_queries,1000,3600,3300,7500,12200,36900,122000,228900,365800,829800,1790200,3961400,8941800,20307400,45394200,99292600
round_k,0,1,5,12,30,61,152,381,914,2074,4475,9903,22354,50768,113485,248231
round_shots,1300,1200,300,200,200,300,200,200,200,200,200,300,300,400,200,200
round_queries,1300,3600,3300,5000,10200,33900,60600,133400,292200,647400,1445800,4542300,10012500,28093200,38004600,85675000
round_k,0,1,5,12,25,56,151,333,730,1618,3614,7570,16687,35116,95011,214187
round_shots,1000,1200,400,300,300,300,200,300,200,200,200,200,200,200,200,300
round_queries,1000,3600,4400,7500,18900,48300,72600,228300,380200,807400,1750200,3639800,7985000,18167400,40277000,131564100
round_k,0,1,5,12,31,80,181,380,950,2018,4375,9099,19962,45418,100692,219273
round_shots,1200,1300,400,400,300,200,200,200,200,200,200,200,200,300,200,100
round_queries,1200,3900,4400,10800,22500,42600,89800,192200,422200,954200,2086200,4719400,10775400,35094900,57417000,65301700
round_k,0,1,5,13,37,106,224,480,1055,2385,5215,11798,26938,58491,143542,326508
round_shots,1300,1500,300,300,300,300,300,200,200,200,400,300,200,200,300,100
round_queries,1300,4500,3300,7500,18300,42900,93900,163800,335000,715800,2890800,5505300,8809400,19592600,63788100,55198500
round_k,0,1,5,12,30,71,156,409,837,1789,3613,9175,22023,48981,106313,275992
round_shots,1400,1200,400,600,300,300,300,200,200,400,300,200,200,200,200,200
round_queries,1400,3600,4400,16200,21900,45300,100500,149800,316600,1330000,2609700,4243800,9317800,21242200,48335800,110440200
round_k,0,1,5,13,36,75,167,374,791,1662,4349,10609,23294,53105,120839,276100
round_shots,1300,1300,400,400,400,200,200,200,300,300,300,200,200,200,300,100
round_queries,1300,3900,4400,10800,30000,36200,77000,171800,539100,1396500,3137100,5041400,11314600,25721000,77527500,64838300
round_k,0,1,5,13,37,90,192,429,898,2327,5228,12603,28286,64302,129212,324191
round_shots,1500,1200,300,300,300,300,200,300,200,200,200,100,100,200,200,300,100
round_queries,1500,3600,3300,7500,17700,39900,64600,194700,284600,642600,1427400,1469300,3127500,13269800,27890200,86427900,59106500
round_k,0,1,5,12,29,66,161,324,711,1606,3568,7346,15637,33174,69725,144046,295532
round_shots,1500,1300,400,300,300,200,200,200,300,300,200,300,400,300,300,100
round_queries,1500,3900,4400,8100,19500,33400,72200,154600,494100,1325100,2113400,6642300,24168400,45518700,91927500,65219500
round_k,0,1,5,13,32,83,180,386,823,2208,5283,11070,30210,75864,153212,326097
round_shots,1900,1400,300,300,200,300,200,200,300,300,300,300,200,200,300,300,100
round_queries,1900,4200,3300,7500,12200,36900,61400,133000,439500,1043700,2336100,5021100,6865800,14615800,47386500,95106900,65054500
round_k,0,1,5,12,30,61,153,332,732,1739,3893,8368,17164,36539,78977,158511,325272
round_shots,1900,1400,400,300,300,200,300,200,200,200,200,200,200,200,200,200
round_queries,1900,4200,4400,7500,18300,32200,103500,183000,397800,889400,1963800,4389800,9953000,22227800,49848600,109497400
round_k,0,1,5,12,30,80,172,457,994,2223,4909,10974,24882,55569,124621,273743
round_shots,1400,1500,500,400,300,200,200,200,200,200,200,200,200,200,200,200
round_queries,1400,4500,5500,10800,23100,39000,83400,171400,361000,810600,1715000,3559400,7761000,17393000,36578200,83310200
round_k,0,1,5,13,38,97,208,428,902,2026,4287,8898,19402,43482,91445,208275
round_shots,900,1300,400,300,300,200,300,200,200,200,200,300,200,200,100,100
round_queries,900,3900,4400,7500,18300,29400,91500,149400,323000,709800,1605800,5264700,9656200,20459800,22117500,45429100
round_k,0,1,5,12,30,73,152,373,807,1774,4014,8774,24140,51149,110587,227145
round_shots,1500,1200,400,400,200,200,300,200,200,200,200,200,200,200,300,200
round_queries,1500,3600,4400,10800,15400,31000,97500,152600,341400,760600,1691800,3766200,8569800,19014600,61730100,106523800
round_k,0,1,5,13,38,77,162,381,853,1901,4229,9415,21424,47536,102883,266309
round_shots,1300,1400,300,300,200,300,200,300,200,200,200,200,300,200,200,300
round_queries,1300,4200,3300,7500,11800,35700,62200,197100,325400,676600,1427800,3250200,10908900,18351000,41884600,127511100
round_k,0,1,5,12,29,59,155,328,813,1691,3569,8125,18181,45877,104711,212518
round_shots,1300,1100,400,300,300,300,300,300,200,200,200,200,200,200,200,200
round_queries,1300,3300,4400,7500,17700,43500,116700,235500,377800,825800,1833000,4147800,9409400,21366200,46875800,104407800
round_k,0,1,5,12,29,72,194,392,944,2064,4582,10369,23523,53415,117189,261019
round_shots,1000,1400,400,200,300,200,200,200,200,200,200,200,400,200,200,300
round_queries,1000,4200,4400,5000,15300,25000,52600,112600,245400,515400,1138600,2532200,10540400,14025000,28498600,94206900
round_k,0,1,5,12,25,62,131,281,613,1288,2846,6330,13175,35062,71246,157011
round_shots,1000,1400,400,300,400,300,200,200,200,200,100,300,300,200,400,200
