round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,7300,28100,627700
round_k,1,10,36,140,608,3138
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7700,30100,723300
round_k,1,11,38,150,681,3616
round_shots,200,500,100,100,100,100
round_queries,200,1500,2300,7900,29700,677900
round_k,1,11,39,148,650,3389
round_shots,200,600,100,100,100,100
round_queries,200,1800,2500,7500,29500,668900
round_k,1,12,37,147,645,3344
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7300,29300,689300
round_k,1,11,36,146,657,3446
round_shots,200,700,100,200,100,100
round_queries,200,2100,900,6200,14700,291500
round_k,1,4,15,73,301,1457
round_shots,100,600,100,100,100,100
round_queries,100,1800,2300,7500,28100,641300
round_k,1,11,37,140,618,3206
round_shots,300,700,100,100,100,100
round_queries,300,2100,2700,9900,40300,1009900
round_k,1,13,49,201,920,5049
round_shots,100,500,100,100,100,100
round_queries,100,1500,2100,7300,28100,637900
round_k,1,10,36,140,622,3189
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,8100,31500,758300
round_k,1,12,40,157,712,3791
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,8300,34100,811900
round_k,1,12,41,170,769,4059
round_shots,200,500,100,100,100,100,100
round_queries,200,1500,900,2700,9900,40500,1018300
round_k,1,4,13,49,202,937,5091
round_shots,200,600,100,100,100,100
round_queries,200,1800,900,2900,10300,194700
round_k,1,4,14,51,207,973
round_shots,100,700,100,100,100,100
round_queries,100,2100,2500,7500,29100,651100
round_k,1,12,37,145,631,3255
round_shots,500,400,200,100,100,100
round_queries,500,1200,3800,9500,38900,961700
round_k,1,9,47,194,885,4808
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7500,29300,679700
round_k,1,11,37,146,646,3398
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7300,28900,694100
round_k,1,11,36,144,659,3470
round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,7700,29700,683300
round_k,1,10,38,148,649,3416
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7300,26900,611100
round_k,1,11,36,134,587,3055
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7700,31300,715500
round_k,1,11,38,156,704,3577
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7900,29300,665500
round_k,1,12,39,146,635,3327
round_shots,100,500,100,100,100,100
round_queries,100,1500,900,2900,10900,211900
round_k,1,4,14,54,227,1059
round_shots,300,400,100,100,100,100,100
round_queries,300,1200,900,3100,10500,39500,932100
round_k,1,4,15,52,197,863,4660
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7700,30100,706300
round_k,1,12,38,150,667,3531
round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,7100,27500,616100
round_k,1,10,35,137,599,3080
round_shots,300,500,100,100,100,100
round_queries,300,1500,2100,7100,28300,608900
round_k,1,10,35,141,625,3044
round_shots,200,700,100,100,100,100
round_queries,200,2100,2700,8100,32900,800700
round_k,1,13,40,164,747,4003
round_shots,400,700,100,100,100,100
round_queries,400,2100,2500,9700,39300,1008700
round_k,1,12,48,196,920,5043
round_shots,200,600,100,100,100,100
