round_queries,300,600,1800,8100,60600,32900,201000,351700,1235500,16488100
round_k,1,4,13,50,164,502,1758,6177,19579,82440
round_shots,300,300,300,200,200,200,100,100,100
round_queries,300,900,3300,7000,21800,87400,182700,638300,10008700
round_k,1,5,17,54,218,913,3191,12069,50043
round_shots,300,200,300,200,300,200,200,100,100
round_queries,300,600,2700,6600,39900,102200,425400,865900,14011700
round_k,1,4,16,66,255,1063,4329,16408,70058
round_shots,300,200,200,200,200,200,100,100,200,100
round_queries,300,600,1800,5400,17800,70200,138500,466100,3387000,25721500
round_k,1,4,13,44,175,692,2330,8467,29874,128607
round_shots,300,300,300,600,200,300,100,100,100
round_queries,300,900,2700,17400,19000,105300,154100,483500,7873100
round_k,1,4,14,47,175,770,2417,8637,39365
round_shots,300,200,300,200,200,200,100,100,200
round_queries,300,600,2700,5800,17800,74600,171700,517900,14693800
round_k,1,4,14,44,186,858,2589,9297,36734
round_shots,300,200,200,200,200,200,200,100,100,100
round_queries,300,600,1800,5400,17400,52200,189800,404300,1479700,18980300
round_k,1,4,13,43,130,474,2021,7398,22197,94901
round_shots,300,200,200,300,200,200,100,300,100,100
round_queries,300,600,1800,8100,17800,66200,142300,1469700,1906900,29410500
round_k,1,4,13,44,165,711,2449,9534,38237,147052
round_shots,200,200,300,200,200,200,200,100,100
round_queries,200,600,2700,5400,21000,65400,248200,578300,8666700
round_k,1,4,13,52,163,620,2891,10627,43333
round_shots,300,200,300,200,200,100,100,100,100,100
round_queries,300,600,2700,5400,17800,37100,114900,363900,1276700,18486100
round_k,1,4,13,44,185,574,1819,6383,21159,92430
round_shots,300,200,200,200,200,200,100,200,100,100
round_queries,300,600,1800,5400,16600,61400,120900,765400,1828500,29092700
round_k,1,4,13,41,153,604,1913,9142,37184,145463
round_shots,300,200,200,300,200,200,100,100,100
round_queries,300,600,1800,9900,27800,100600,235900,817900,13065100
round_k,1,4,16,69,251,1179,4089,15588,65325
round_shots,300,300,200,300,100,100,200,100,200,100
round_queries,300,900,1800,8100,8500,25500,156600,250500,1765000,17416300
round_k,1,4,13,42,127,391,1252,4412,20443,87081
round_shots,300,200,300,200,200,100,200,100,100,100
round_queries,300,600,2700,7000,23400,39900,251000,554300,2058700,19478300
round_k,1,4,17,58,199,627,2771,10293,31045,97391
round_shots,300,200,200,200,200,100,200,100,100,100
round_queries,300,600,1800,5400,16600,33500,205000,452500,1566100,28567500
round_k,1,4,13,41,167,512,2262,7830,31643,142837
round_shots,200,200,200,300,200,200,100,100,100
round_queries,200,600,1800,8100,25000,86600,185300,622500,9096900
round_k,1,4,13,62,216,926,3112,11121,45484
round_shots,400,300,300,200,200,300,200,100,200
round_queries,400,900,2700,7000,23000,142500,295000,647900,18669800
round_k,1,4,17,57,237,737,3239,12053,46674
round_shots,300,200,300,200,200,200,100,100,100,100
round_queries,300,600,2700,6600,25800,81000,136900,430700,1471100,22978500
round_k,1,4,16,64,202,684,2153,7355,28420,114892
round_shots,300,200,200,200,200,200,200,100,100
round_queries,300,600,1800,5800,22200,89800,330200,658300,10184100
round_k,1,4,14,55,224,825,3291,12150,50920
round_shots,300,200,200,300,200,100,200,100,200,100
round_queries,300,600,1800,8100,18200,35900,220200,466100,3419800,27744300
round_k,1,4,13,45,179,550,2330,8549,34583,138721
round_shots,300,300,300,200,200,100,100,100,100,100
round_queries,300,900,2700,7400,24200,49900,151500,506500,1886300,30920500
round_k,1,4,18,60,249,757,2532,9431,37194,154602
round_shots,300,300,200,500,200,200,100,200,100,100
round_queries,300,900,1800,14500,17800,64600,129100,857000,1524700,26247700
round_k,1,4,14,44,161,645,2142,7623,29199,131238
round_shots,400,200,300,300,200,200,200,200,100
round_queries,400,600,2700,8100,21800,87800,394600,1219800,10794900
round_k,1,4,13,54,219,986,3049,14368,53974
round_shots,200,400,400,200,100,200,100,100,100
round_queries,200,1200,4400,7000,12300,73800,157100,531700,7954700
round_k,1,5,17,61,184,785,2658,9958,39773
round_shots,300,200,200,300,200,200,100,100,100,100
round_queries,300,600,1800,8100,20200,69800,148100,494300,1808500,29713900
round_k,1,4,13,50,174,740,2471,9042,33386,148569
round_shots,200,300,200,200,100,200,100,200,100
round_queries,200,900,1800,5800,9900,59400,133900,887400,8860100
round_k,1,4,14,49,148,669,2218,9737,44300
round_shots,300,200,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,19800,66600,104300,333500,1033300,16295100
round_k,1,4,13,49,166,521,1667,5166,19976,81475
round_shots,300,200,200,200,300,200,100,100,100,100
round_queries,300,600,1800,5800,26700,59400,109300,349900,1267100,15424700
round_k,1,4,14,44,148,546,1749,6335,25153,77123
round_shots,300,200,200,200,300,200,200,100,100
round_queries,300,600,1800,6600,29700,86600,389000,818700,12022300
round_k,1,4,16,49,216,972,4093,15700,60111
round_shots,300,200,200,200,200,200,100,100,100
round_queries,300,600,1800,5800,21400,88600,171500,565900,8338500
round_k,1,4,14,53,221,857,2829,10446,41692
round_shots,300,300,200,200,200,200,200,100,100,100
round_queries,300,900,1800,5800,19800,70200,296200,466700,1532300,26665100
round_k,1,4,14,49,175,740,2333,7661,30756,133325
round_shots,200,200,200,200,200,100,200,100,100,100
round_queries,200,600,1800,5400,17800,35100,218200,457900,1492700,19412500
round_k,1,4,13,44,175,545,2289,7463,22390,97062
round_shots,200,300,200,300,200,100,200,200,200,100
round_queries,200,900,1800,8700,23000,45900,296600,1007000,4451400,28163700
round_k,1,4,14,57,229,741,2517,11128,39014,140818
round_shots,300,200,300,200,200,200,100,100,100,100
round_queries,300,600,2700,5400,16600,63400,129300,390700,1249500,22148300
round_k,1,4,13,41,158,646,1953,6247,24880,110741
round_shots,200,200,200,200,200,200,100,200,100
round_queries,200,600,1800,5800,22600,89000,164900,1143800,9903300
round_k,1,4,14,56,222,824,2859,11851,49516
round_shots,300,200,300,300,200,300,200,100,100
round_queries,300,600,2700,8100,19000,120900,336600,698500,10384500
round_k,1,4,13,47,201,841,3492,13293,51922
round_shots,300,200,200,300,200,100,100,100,100,100
round_queries,300,600,1800,8100,23000,44300,133100,418300,1491300,20578100
round_k,1,4,13,57,221,665,2091,7456,26740,102890
round_shots,300,200,300,500,200,100,200,100,200
round_queries,300,600,2700,14500,25000,45700,293800,599100,13571400
round_k,1,4,14,62,228,734,2995,11152,33928
round_shots,300,200,300,300,200,100,100,100,100,100
round_queries,300,600,2700,8100,21800,43100,139900,468100,1719500,17248100
round_k,1,4,13,54,215,699,2340,8597,26368,86240
round_shots,300,200,200,200,200,200,200,100,100
round_queries,300,600,1800,5800,19800,82600,335400,743100,11026100
round_k,1,4,14,49,206,838,3715,14057,55130
round_shots,200,200,300,200,200,100,200,100,100,100
