0.01,2600,3400,3000,2600,4400,2300,3800,3300,3800,2400,2500,3200,1900,3500,2400,3300,2600,3000,3500,2900,2500,2900,4600,4600,2400,2400,2500,3400,3300,2600,2400,2400,2500,2300,4600,3200,3900,3500,3400,3200,2900,3500,1900,2300,3900,3900,4100,2500,3000,2500,3000,4100,3200,2500,4700,4600,2500,3000,3200,2700,4600,3000,2500,2400,3800,4000,4500,2600,4700,3400,4100,2900,3200,3000,3100,4000,4700,3000,4100,2700,2600,3000,4500,3000,3100,2400,3400,2900,3000,3200,2400,2600,3000,2400,3400,3800,3500,4500,3500,2400
0.001,18400,67600,50100,30300,32800,48400,37200,66500,48700,39300,67200,52700,22700,41600,37200,53900,57600,44800,82500,70400,63700,47800,68600,48000,45200,66700,71600,49000,19100,76200,22900,33600,62000,39900,63200,22300,72600,72300,64000,51600,31200,39000,71100,35700,42600,62600,43700,56600,16300,67800,45700,19100,76700,19500,61800,48600,48700,59800,60400,50400,52100,71800,48900,40400,55300,61800,53200,48200,41400,39000,45800,41700,68700,42100,33700,52000,19000,45500,42000,65400,62600,45300,37200,51900,34100,53000,50800,48800,43300,19900,76900,50300,69400,48100,45500,35100,37200,57800,69200,35900
0.0001,248900,762000,341700,268300,297800,635600,686600,808400,928800,256300,378800,348600,415900,320100,155400,735600,535200,391800,214200,705600,418900,644500,834000,786000,934200,214500,289100,280200,205700,705100,917300,629000,386500,377600,439100,354200,817200,239400,302400,231600,201800,254700,311100,266900,201600,304600,636100,324900,236500,653400,229400,410000,270400,393300,688300,394500,634800,265900,218100,231200,533500,644700,282300,239500,251100,864200,334800,278200,738400,235200,372800,442800,192900,618700,762400,391900,243800,665500,391600,290200,226700,241000,320500,318600,222400,317600,349400,761800,698900,668700,260300,217100,245100,226000,307000,722400,542000,672600,270500,225700
7.5e-05,754200,625600,795600,664200,800400,561700,499100,764200,699000,1116100,220400,263900,1195500,480400,427500,968100,1046600,542600,870700,468200,602500,1078700,900800,1006700,1096000,740600,962700,893200,292300,733000,621600,897200,681300,835400,332700,258800,854600,829000,726700,895200,879100,954600,912300,1061500,343500,820900,266800,493800,254900,504600,739000,860000,860100,297500,422400,995300,540000,932900,712200,517400,604600,851000,938300,615000,884400,311600,339300,718000,361300,586600,309900,1295300,272200,271900,531200,347400,972000,275100,716000,736000,624700,789000,627500,628200,692200,282500,759600,258000,294200,798200,283700,1059600,644600,772800,678600,364000,670200,720200,791100,410500
5e-05,910600,938000,849800,1594300,607700,1381000,1106700,827600,553100,799600,827200,1204200,1081800,1319300,937000,902300,574600,716800,874400,1699700,412400,1048800,1416400,643600,423200,1445700,1129400,1275700,1417100,1215900,1204000,672500,1043300,899600,725100,982600,860000,1284400,780300,1037600,1120900,783400,912500,684100,551500,750700,857500,840000,872600,732400,446400,802600,1090600,1637900,1358900,945500,677000,724600,1058300,625800,938700,1296400,1656300,913600,1245300,1131300,1127200,625900,1276800,644200,913400,1030000,983300,1314200,1117400,833100,1416100,404600,1100300,1154600,885800,993400,894900,1166400,1210800,590400,385800,640800,966900,933600,933500,434200,765600,1084900,838000,925200,693800,697400,863400,836400
2.5e-05,1106200,1297100,990600,2862600,1659400,2289900,1928600,1089000,1109200,2866600,1087400,1439800,1039500,870300,1102200,1113700,1778100,3092200,1145400,795200,1035400,1294900,2310500,2990400,2755100,2237800,1000900,2787900,3526200,840300,1060100,2622600,1220100,1930000,2563800,2749700,3136700,867800,2935300,1929700,1498600,808200,1790300,992300,2753800,2464900,930400,2946300,1049200,1169000,1117100,3184600,807100,2113100,3300700,821400,2520400,777400,817000,2556300,1620500,2811200,1210100,2652200,3191900,3193700,1116400,1043900,798100,1364500,1441600,2322700,885300,2714700,2036700,919600,1059600,1403300,891600,1239800,1049700,1068300,968700,1164500,823700,2829300,1111200,1121100,1194500,2740100,1115700,912700,1165700,1635900,2101000,1020400,3280000,813400,2867800,2941900
1e-05,6999000,3517900,4521900,4119400,3119200,7095900,2550600,2117600,3846900,2451300,3273300,6911800,5953300,3700000,2445900,7120100,5143800,4464200,3611000,4299200,2786600,2295300,3401300,8539200,4023400,6088900,3660600,3670900,2151800,2236300,3912200,2174100,3043100,2445800,4943300,8966300,3190100,2774200,3903800,3536700,4158800,3122700,2863300,4196900,3111400,2373500,5646800,6142200,4017200,3941300,4825300,5406600,5110000,3738000,4682300,2417200,5616500,3634100,2428500,3404700,2737700,3698000,3105100,3480500,3483800,3665500,5750800,6961900,2558000,4305400,4159900,2777600,4059000,3353400,5281600,3892500,3816200,4092900,3014800,2331900,3054700,3571500,2258700,1968300,2586700,2134700,3745100,2480500,4067100,7814000,5372200,2438800,4418100,3018500,3373800,3986700,4932800,2873100,3822400,3944400
1e-06,71903100,70300300,53077700,24554800,48720000,46444400,46390300,46061200,68841000,20900700,45411800,20428300,40371400,24073700,24663100,79791400,49716500,39093300,20609700,73364100,73481200,75568600,21062900,43818900,83010800,85365900,34187400,30676900,62104200,42052000,27092200,32258200,25427700,52401600,38250600,69870100,60193500,51480100,61514000,51882600,50127700,35774200,52809200,70874800,31495400,66326600,65247800,68503000,74000200,50570600,30692300,27105000,61024100,68086100,26289700,26178300,78254700,36010100,83532500,93402200,21217600,42558700,66463200,43812700,50908400,86452900,21376900,65402900,49592800,38568200,47061500,61648100,65587200,37423000,32040300,35972900,27403700,22803700,56257900,48742700,60449500,43194700,89475800,73765800,52244400,48104600,52011700,62839400,29295500,54069000,68497800,63442500,29886900,48605600,22504500,65862300,23719400,42673600,86048600,21366900
