0.01,1900,4600,5400,1900,4600,7400,4600,6400,5200,5400,5400,1900,5400,6400,5200,1900,5600,4800,6800,5200,4800,5200,6000,1900,4600,6800,1900,6000,6000,6000,4800,6200,4800,5600,4600,5400,2900,5400,5400,4800,1900,5800,4600,7400,6000,6000,6800,1900,6000,1900,6800,6000,6600,6400,5200,2700,6000,5400,5400,1900,4000,4800,4600,5400,1900,1900,6800,2900,2300,1900,1900,2100,1900,5200,4600,5200,1900,5400,1900,5400,6800,5400,1900,1900,1900,4800,6000,1900,5400,6000,4800,4800,4600,6600,5600,8200,6200,6000,6000,1900
0.001,25700,39900,26100,19700,24700,21500,24300,21100,28900,42100,25100,23500,21300,39100,27700,26900,43500,24300,39100,22900,47900,24300,35900,20300,50300,29500,33100,20700,37300,23500,46500,29300,23700,32100,22300,44100,39300,21900,19100,25300,21700,31300,19300,20500,22100,28100,46100,18500,25500,36900,19300,24300,24500,26100,21300,26500,27500,23100,25700,48500,21700,20500,22300,19100,30100,26700,26100,21300,27900,19100,24500,20900,36500,24900,22300,22500,27900,36700,24900,28700,29300,55100,27500,54900,21700,87600,22700,23900,25300,29300,23500,21900,24900,35300,60500,20700,32500,25100,38500,25700
0.0001,506900,416700,561900,641700,869300,824300,409700,432300,232600,612300,635100,547100,649700,446300,600500,420100,542300,587100,438300,812100,589100,647900,449300,560700,525100,589100,635300,505100,748500,512100,765900,470100,922100,450700,249600,609900,670900,619900,535100,678300,621700,611900,547900,428300,700300,439900,489300,662700,526100,231800,475700,668500,645300,449500,414500,647500,467300,477100,407100,420300,560300,512700,413900,661500,456300,617700,549500,469700,609700,737700,867500,906900,914900,516100,630500,517500,581300,622300,410900,569900,231400,442100,445300,507700,509500,189200,536500,583700,614700,214200,548300,682900,600300,605300,638100,771700,213600,191200,870700,669500
7.5e-05,555900,653100,556500,561300,583700,549500,619100,541300,505100,376300,386500,447100,555500,566900,558900,443900,649300,657300,626500,588300,600900,522100,484100,448900,463900,870500,603100,628900,558900,812300,597900,729300,327800,968700,648500,533100,454500,592700,560100,591700,510300,555900,1012500,461100,525100,594900,636100,754100,448300,642300,656300,466700,548300,627700,445700,384900,667500,365500,722300,507900,657700,641300,561900,434300,542900,563900,779500,629700,1183300,553500,490700,1175100,571100,380500,892700,499100,797900,467900,460500,497900,368100,403300,588100,569900,599900,520700,936100,584500,589300,455900,561300,448500,580900,642100,540700,463100,492900,726500,647700,502700
5e-05,643300,658900,870900,561100,695700,504900,556900,484100,485500,511700,626500,1118100,813300,546300,528300,643700,434500,511700,438100,582300,551500,397100,779900,459900,554500,490300,857700,687100,620300,532700,649900,619700,513100,1859800,697700,542900,1069100,630300,1867800,554700,433100,563900,549700,473100,527900,544300,1297900,657100,454700,828900,670900,885300,504300,591900,496500,487700,616900,652700,699300,633300,523900,582100,937900,683700,763100,623500,471900,650500,448100,613500,1117500,457500,518700,442300,520700,399500,502700,445100,553500,560300,374300,629900,836900,734900,677900,475500,625500,802100,627900,661700,850500,548100,459300,616700,418300,488500,456100,680300,503500,547900
2.5e-05,2512400,2114000,1841200,2450800,2522800,3293500,2290000,3228600,3849200,3443200,3275600,1722000,2697200,1704200,2039600,2696800,2764200,3087400,2655800,3803400,3200000,2416800,2642800,2472700,2482600,3266800,3316400,2290600,3270800,2703800,2886600,2401200,2635200,3219000,3322800,3469800,1057900,2934800,3260200,3034200,2604000,3590200,2251200,2866400,2349800,2596400,1101700,2239000,3633400,2799000,2762400,2745000,2995400,2332800,2093800,2586000,2526600,2076400,2643000,3020200,2329600,2771800,2150600,2890200,2956000,1670200,2250600,2188400,2087000,3174600,1959800,2627600,867100,3240200,2362200,836500,2747200,2998600,1880400,2559000,2669000,3086200,2617400,3250400,2335600,2667300,960900,2428000,2994200,920100,2478200,3074400,2630000,3759600,2952000,3245200,1960400,3624000,3159600,975500
1e-05,9014500,8859100,2114800,2556800,2554400,2359800,3149400,2198600,2193600,3480800,2745200,4940400,2560000,3014000,2381200,3221200,4164400,2432800,7310300,3224400,2448200,4296600,2616800,4226000,2121200,2899800,3123600,2908200,2726200,2576600,2603800,2688800,2910800,2685600,2091600,3086200,2617000,4720200,2590200,2331400,5234600,2261800,2410600,2907000,3044400,3172000,2571200,3079400,2851400,2613200,2218400,2597800,1899200,5743200,3696000,3071600,2764200,2749600,2488600,2005000,2277800,3011600,2022600,2191600,2473800,2878800,2972600,2411200,2273200,2308000,2429000,2304000,2049200,2650600,2511400,3058400,3816800,2621000,1946200,2708800,3407600,1946200,2171000,5115400,9611700,2644600,9196700,2659000,2647600,2489000,2017400,2838400,2738200,2476200,2148400,2596800,2406600,2390400,3384200,2611200
1e-06,36802400,80243400,65250400,70086800,67920800,63684000,63533400,48723800,54023600,60189000,53071800,52788800,51360400,51943400,71985200,68937000,46158200,56446800,57376200,68393800,49058000,39729800,50414600,90304200,62385200,62247400,58570000,87327000,21676300,71118600,59314000,55846400,43944000,53373200,48668600,76583200,71227600,58814200,79616000,51547400,55510000,58512800,49116200,61245000,69909200,90312600,75566200,63615600,71791000,69263000,47038000,58258400,52432400,61985200,80249400,76307000,43823600,49944400,62478600,66763600,61827800,48460400,23753300,43678600,72204800,40439800,69951800,56173200,45175600,57477000,76906800,74138000,67928000,49652600,45473000,66008600,58328800,73046000,54158800,53909600,85011400,72219800,53905600,51639800,84986000,54384200,52211800,76317800,63655400,25325300,68420200,85809800,28148100,60764800,22289300,81662000,75021200,54491800,75542000,48009500
