0.01,9200,9900,5600,6300,8400,8100,6100,6400,5700,8200,8600,6000,6700,5700,6300,6400,5200,7200,8900,6900,5700,8800,6100,5400,8000,5500,5800,6100,6100,6300,6300,9900,8500,8300,6400,6300,9900,9200,6500,6400,6000,6100,8200,5700,6100,9000,5700,8500,5700,8200,7900,5200,6600,8000,6200,10100,5200,9200,8900,8700,5600,6500,9000,6500,5700,7200,8900,8600,5700,6600,9200,5800,7800,5700,5600,6700,8200,6200,6700,7500,5700,8600,5700,8000,6600,8200,5700,8300,6300,9000,5800,5800,5300,6000,6000,6900,6400,6500,6300,6600
0.001,62900,42900,78400,78400,34200,73000,91900,58700,78800,63200,60200,57900,76500,34200,60200,92800,95000,34300,50700,31800,34100,96000,78400,78600,75600,78900,43000,61100,62700,35000,31800,78200,95500,31800,61700,96300,76600,96500,53500,33300,79800,60500,36600,62000,81300,57500,82200,72600,81300,41000,66800,63100,62000,80800,38100,82100,65600,78700,78600,65600,34000,64000,62100,73300,76700,75900,70800,63600,58600,79100,79000,71000,76400,32500,95000,64000,37500,70900,94200,60900,63000,64900,60500,78000,67100,73900,78500,79400,72500,78000,82700,91500,81300,73300,78400,63500,76900,57900,75800,35000
0.0001,352900,292200,701800,402100,354800,346300,384500,422700,373200,951500,257600,332500,464900,876200,963700,560200,354700,453000,1001200,382000,357400,871700,367100,870400,524500,305300,673400,278500,369700,696700,263800,387700,387300,1144800,326500,240400,1077500,793200,814800,242300,385800,364800,510300,297200,421200,318500,367900,837800,737100,313800,240900,348400,396400,251900,300700,364900,300500,532300,385200,881600,369200,363900,313600,421600,1024500,323800,853500,960000,947000,939600,400200,387600,347600,346000,475700,910900,463700,593300,916900,355900,392700,598200,354000,346300,375000,338900,337200,417300,923600,310100,449400,247300,892200,341700,274600,908600,283800,808800,361900,370900
7.5e-05,955300,1224200,1288000,1362600,1098200,1185900,1042700,654600,1088200,393200,1231500,1067800,903500,1218000,1259800,830800,1017600,1206400,356800,959100,891700,777700,413600,1088500,1363500,1147100,524400,898000,371600,1286800,829300,1106100,671000,1115400,1007200,920800,1002000,594900,926300,1294500,1143400,346200,1313900,906600,908200,1438200,423100,332600,1084000,362200,532300,814100,502800,703300,337300,608800,1388300,1033500,371800,1188000,1186800,1045300,370600,345600,641900,1184500,414300,1338000,1306800,711400,820600,1125800,1156300,1321900,1103900,829200,1258700,1077200,774200,1248700,958700,549700,973600,785100,1158100,799700,1159600,1228600,820100,1160600,463400,474400,974300,359600,388300,358900,1462900,1157000,1308000,1031600
5e-05,1154600,1714300,1549700,1105500,808800,1540600,1213100,1810400,761600,999000,958600,1142300,959600,1674000,1252500,1459300,1262800,1343700,1072000,1130800,904800,986700,961500,1224300,1269800,1308000,1696700,671300,738600,898200,1380600,1211500,872000,1292000,897600,833600,1401700,1051900,1073200,1741400,965300,1326300,1185300,1087000,1121000,854000,1215800,1239500,1264500,956500,644100,1614700,1186400,960400,1025600,1008500,1102700,780200,915800,956600,1034100,718200,729700,1177500,920900,985700,1182200,987200,792200,1144200,1274600,1105500,1421700,791000,1203800,1211400,1218300,670800,708000,1141900,1265800,664000,1125800,1060300,2215300,1069900,1148600,1067700,1261600,1169500,910600,1234200,1544100,1023100,711600,733700,1096400,1518700,889300,559400
2.5e-05,1110800,1506700,3869200,2828900,1361000,4019100,1196600,2640400,4159600,959500,3565200,4119400,3372700,1110000,1356700,3672700,1041500,1143600,2855100,2315200,3566000,2696500,3494500,1058800,1265600,2897700,4864300,998900,1010500,1435200,3702500,3644100,1118300,3914000,3398400,1403500,961100,1196400,1155500,1574700,1787400,1604300,1753700,3330100,992400,989900,1060000,1542900,2478900,1114800,1401600,1799000,1181600,3418300,2548100,2104800,3081800,1673400,1317600,2439500,1801600,2967600,2450700,3191600,3452200,2752800,3738700,3597300,2253800,3173700,4253700,2838600,3524800,3311100,3669200,1326400,1590000,1136400,3457500,4049900,3927500,1359500,3037700,963000,3458700,1198600,3496400,3966300,3971600,1545400,3817600,4318300,3672200,2516300,2536400,1078700,1681800,2848100,1309600,4175100
1e-05,7906900,4143500,5220100,2761700,3186600,4222800,3776200,3398300,4264500,10500200,4539200,4434000,3421700,4225900,3092300,3934500,4139800,11043600,3806300,4607300,4087000,4335100,4533900,2533600,2898300,3938800,2745500,4580400,4403300,4783600,3886300,3547900,4409200,5452500,7248500,3242800,3374700,3693600,4991900,2906600,5364200,3981600,5268200,5412300,3316700,2510600,3129900,3736500,4418400,3271400,5434100,3114100,4037700,5421200,3791600,3343800,9566000,4323200,2895800,2739900,5664000,3294500,4170100,4101200,10867500,4406100,2526600,2823800,3762000,8740900,2731100,10624900,4372500,2943800,4374500,4265500,3528600,4031000,4199900,3749400,4239200,9168800,5636600,3856000,4590600,7001300,3286400,6047800,5146100,3013500,5375100,5714700,4745700,12567500,6013800,3347100,4469400,3932000,2942700,10762900
1e-06,26088600,30327200,88545800,55946000,63072900,32923800,51283900,45393700,69296300,42624200,34053600,81655600,53419700,54331000,39578700,62339700,37762100,71927300,48288200,58853400,52492200,85233700,45431800,31673100,69483400,44979300,46840900,37593200,61197400,55731500,62922100,45530400,44993100,38999000,52060200,104182700,25232900,50463900,34502300,82829200,40594900,89300600,65023400,63256600,46012100,30208800,66156000,34264300,51508900,90807200,49940100,51826300,45427200,31623100,34629800,41785100,38874300,50470900,53080400,97843600,52736300,45346500,46524100,59090500,90891300,59179400,51970500,77478100,38438100,58182800,42334800,27160600,79530600,45143100,39786600,50722000,49778100,52758800,42356100,49804200,48929100,86384900,49703700,56289200,36962300,72094700,52833500,95287600,61510100,64632300,37560100,54858800,37022600,61674900,47707600,46638300,56377800,38835300,54804700,55551600
